article,person,death_date,date_source,wd_precision,country,in_registry,decision,reason
Murder_of_Jared_Lakey,Jared Lakey,2019-07-04,registry,none,,True,include,"in range (2019-07-04, registry)"
Killing_of_Elijah_McClain,Elijah McClain,2019-08-30,wikidata,day,United States,True,include,"in range (2019-08-30, wikidata)"
Killing_of_Atatiana_Jefferson,Atatiana Jefferson,2019-10-12,wikidata,day,United States,True,include,"in range (2019-10-12, wikidata)"
Killing_of_Alvin_Cole,Alvin Cole,2020-02-02,wikidata,day,United States,True,include,"in range (2020-02-02, wikidata)"
Murder_of_Ahmaud_Arbery,Ahmaud Arbery,2020-02-23,wikidata,day,United States,False,include,"in range (2020-02-23, wikidata)"
Killing_of_Manuel_Ellis,Manuel Ellis,2020-03-03,wikidata,day,,False,include,"in range (2020-03-03, wikidata)"
Killing_of_Duncan_Lemp,Duncan Lemp,2020-03-12,wikidata,day,United States,False,include,"in range (2020-03-12, wikidata)"
Killing_of_Breonna_Taylor,Breonna Taylor,2020-03-13,wikidata,day,United States,True,include,"in range (2020-03-13, wikidata)"
Killing_of_Daniel_Prude,Daniel Prude,2020-03-23,wikidata,day,United States,False,include,"in range (2020-03-23, wikidata)"
Killing_of_Nina_Pop,Nina Pop,2020-05-03,wikidata,day,United States,False,include,"in range (2020-05-03, wikidata)"
Killing_of_Bernardo_Palacios-Carbajal,Bernardo Palacios-Carbajal,2020-05-23,wikidata,day,United States,True,include,"in range (2020-05-23, wikidata)"
George_Floyd,George Floyd,2020-05-25,wikidata,day,,True,include,"in range (2020-05-25, wikidata)"
Killing_of_Dion_Johnson,Dion Johnson,2020-05-25,wikidata,day,,True,include,"in range (2020-05-25, wikidata)"
Murder_of_George_Floyd,George Floyd,2020-05-25,wikidata,day,United States,True,include,"in range (2020-05-25, wikidata)"
Killing_of_Tony_McDade,Tony McDade,2020-05-27,wikidata,day,United States,False,include,"in range (2020-05-27, wikidata)"
Killing_of_James_Scurlock,James Scurlock,2020-05-30,wikidata,day,United States,False,include,"in range (2020-05-30, wikidata)"
Killing_of_David_McAtee,David McAtee,2020-06-01,wikidata,day,United States,True,include,"in range (2020-06-01, wikidata)"
Killing_of_Sean_Monterrosa,Sean Monterrosa,2020-06-02,wikidata,day,United States,True,include,"in range (2020-06-02, wikidata)"
Killing_of_Carlos_Carson,Carlos Carson,2020-06-06,wikidata,day,United States,False,include,"in range (2020-06-06, wikidata)"
Killing_of_Rayshard_Brooks,Rayshard Brooks,2020-06-12,wikidata,day,United States,True,include,"in range (2020-06-12, wikidata)"
Killing_of_Andres_Guardado,Andres Guardado,2020-06-18,wikidata,day,,True,include,"in range (2020-06-18, wikidata)"
Killing_of_Julian_Lewis,Julian Lewis,2020-08-07,wikidata,day,United States,False,include,"in range (2020-08-07, wikidata)"
Shooting_of_Jacob_Blake,Jacob Blake,2020-08-23,wikidata,day,United States,False,include,"in range (2020-08-23, wikidata)"
Killing_of_Dijon_Kizzee,Dijon Kizzee,2020-08-31,wikidata,day,,True,include,"in range (2020-08-31, wikidata)"
Killing_of_Marcellis_Stinnette,Marcellis Stinnette,2020-10-20,wikidata,day,United States,True,include,"in range (2020-10-20, wikidata)"
Killing_of_Walter_Wallace,Walter Wallace,2020-10-26,registry,none,,False,include,"in range (2020-10-26, registry)"
Killing_of_Casey_Goodson,Casey Goodson,2020-12-04,registry,none,,False,include,"in range (2020-12-04, registry)"
Murder_of_Andre_Hill,Andre Hill,2020-12-22,wikidata,day,United States,False,include,"in range (2020-12-22, wikidata)"
Killing_of_Angelo_Quinto,Angelo Quinto,2020-12-23,registry,none,,True,include,"in range (2020-12-23, registry)"
Killing_of_Christian_Hall,Christian Hall,2020-12-30,wikidata,day,United States,True,include,"in range (2020-12-30, wikidata)"
Killing_of_Dolal_Idd,Dolal Idd,2020-12-30,wikidata,day,United States,True,include,"in range (2020-12-30, wikidata)"
Death_of_Marvin_Scott,Marvin Scott,2021-03-14,wikidata,day,,False,include,"in range (2021-03-14, wikidata)"
Killing_of_Adam_Toledo,Adam Toledo,2021-03-29,wikidata,day,United States,True,include,"in range (2021-03-29, wikidata)"
Killing_of_Anthony_Alvarez,Anthony Alvarez,2021-03-31,wikidata,day,United States,True,include,"in range (2021-03-31, wikidata)"
Killing_of_Daunte_Wright,Daunte Wright,2021-04-11,wikidata,day,United States,True,include,"in range (2021-04-11, wikidata)"
Killing_of_Lindani_Myeni,Lindani Myeni,2021-04-13,registry,none,,True,include,"in range (2021-04-13, registry)"
Death_of_Mario_Gonzalez,Mario Gonzalez,2021-04-19,wikidata,day,United States,True,include,"in range (2021-04-19, wikidata)"
Killing_of_Ma'Khia_Bryant,Ma'Khia Bryant,2021-04-20,wikidata,day,United States,True,include,"in range (2021-04-20, wikidata)"
Killing_of_Andrew_Brown_Jr.,Andrew Brown Jr.,2021-04-21,wikidata,day,United States,False,include,"in range (2021-04-21, wikidata)"
Killing_of_Winston_Boogie_Smith,Winston Boogie Smith,2021-06-03,wikidata,day,United States,False,include,"in range (2021-06-03, wikidata)"
Killing_of_Deona_Marie_Knajdek,Deona Marie Knajdek,2021-06-13,wikidata,day,United States,False,include,"in range (2021-06-13, wikidata)"
Killing_of_Leneal_Frazier,Leneal Frazier,2021-07-06,wikidata,day,United States,False,include,"in range (2021-07-06, wikidata)"
Killing_of_Guillermo_Sanchez_and_Guillardo_Sanchez,Guillermo Sanchez and Guillardo Sanchez,2021-10-06,registry,none,United States,False,include,"in range (2021-10-06, registry)"
Killing_of_Richard_Lee_Richards,Richard Lee Richards,2021-11-29,registry,none,,True,include,"in range (2021-11-29, registry)"
Killing_of_Amir_Locke,Amir Locke,2022-02-02,registry,none,United States,True,include,"in range (2022-02-02, registry)"
Killing_of_Patrick_Lyoya,Patrick Lyoya,2022-04-04,registry,none,,True,include,"in range (2022-04-04, registry)"
Gonzalo_Lopez,Gonzalo Lopez,2022-06-02,wikidata,day,,True,include,"in range (2022-06-02, wikidata)"
Killing_of_Jayland_Walker,Jayland Walker,2022-06-27,wikidata,day,United States,True,include,"in range (2022-06-27, wikidata)"
Killing_of_Donovan_Lewis,Donovan Lewis,2022-08-30,registry,none,,True,include,"in range (2022-08-30, registry)"
Killing_of_Savannah_Graziano,Savannah Graziano,2022-09-27,registry,none,,True,include,"in range (2022-09-27, registry)"
Death_of_Keenan_Anderson,Keenan Anderson,2023-01-03,registry,none,,True,include,"in range (2023-01-03, registry)"
Killing_of_Sayed_Faisal,Sayed Faisal,2023-01-04,registry,none,United States,True,include,"in range (2023-01-04, registry)"
Killing_of_Tyre_Nichols,Tyre Nichols,2023-01-10,wikidata,day,United States,True,include,"in range (2023-01-10, wikidata)"
Killing_of_Ricky_Cobb_II,Ricky Cobb II,2023-07-31,wikidata,day,United States,True,include,"in range (2023-07-31, wikidata)"
Killing_of_Eddie_Irizarry,Eddie Irizarry,2023-08-14,registry,none,,True,include,"in range (2023-08-14, registry)"
Killing_of_Dhal_Apet_and_Lueth_Mo,Dhal Apet and Lueth Mo,2023-09-06,registry,none,,False,include,"in range (2023-09-06, registry)"
Killing_of_Nyah_Mway,Nyah Mway,2024-06-28,registry,none,,True,include,"in range (2024-06-28, registry)"
Killing_of_Kevin_Mullins,Kevin Mullins,2024-09-19,wikidata,day,United States,True,include,"in range (2024-09-19, wikidata)"
