article,n_titles,canonical_views,all_titles_views,gain,titles
Killing_of_Joseph_Mann,3,7335,53285,7.26,Killing_of_Joseph_Mann | Shooting_of_Joseph_Mann | Joseph_Mann_(shooting_victim)
Killing_of_José_Campos_Torres,3,0,209076,,Joe_Campos_Torres | Murder_of_Joe_Campos_Torres | Murder_of_José_Campos_Torres
Killing_of_Julian_Lewis,5,3076,25266,8.21,Killing_of_Julian_Lewis | Julian_Edward_Roosevelt_Lewis | Julian_Edward_Lewis | Julian_Roosevelt_Lewis | Killing_of_Julian_Edward_Roosevelt_Lewis
Killing_of_Keith_Lamont_Scott,4,30033,571707,19.04,Killing_of_Keith_Lamont_Scott | Keith_Lamont_Scott | Lamont_Scott | Shooting_of_Keith_Lamont_Scott
Killing_of_Kenneth_Chamberlain_Sr.,12,126580,432121,3.41,"Killing_of_Kenneth_Chamberlain_Sr. | Killing_of_Kenneth_Chamberlain | Kenneth_Chamberlain | Kenneth_Chamberlain,_Sr. | Killing_of_Kenneth_Chamberlain,_Sr | Kenneth_Chamberlain_Sr. | Killing_of_Kenneth_Chamberlain,_Sr. | Death_of_Kenneth_Chamberlain_Sr. | Shooting_of_Kenneth_Chamberlain,_Sr. | Death_of_Kenneth_Chamberlain,_Sr. | Shooting_of_Kenneth_Chamberlain_Sr. | Killing_of_Kenneth_Chamberlain_Sr"
Killing_of_Korryn_Gaines,7,17042,753017,44.19,Killing_of_Korryn_Gaines | Kodi_Gaines | Shandawn_Gaines | Korryn_Gaines | Korryn_Shandawn_Gaines | Korryn | Shooting_of_Korryn_Gaines
Killing_of_Larry_Jackson_Jr.,4,1096,18189,16.6,"Killing_of_Larry_Jackson_Jr. | Shooting_of_Larry_Jackson,_Jr. | Larry_Jackson_Jr. | Shooting_of_Larry_Jackson_Jr."
Killing_of_Leneal_Frazier,3,11856,12081,1.02,Killing_of_Leneal_Frazier | Leneal_Frazier | Draft:Killing_of_Leneal_Frazier
Killing_of_Lindani_Myeni,2,45642,45867,1.0,Killing_of_Lindani_Myeni | Lindani_Myeni
Killing_of_Ma'Khia_Bryant,15,452373,494348,1.09,"Killing_of_Ma'Khia_Bryant | Ma’Khia_Bryant | Killing_of_Ma'khia_Bryant | Makiyah_Bryant | Makhia_Bryant | Ma'Khia | Death_of_Ma'Khia_Bryant | Killing_of_Makiyah_Bryant | Makiah_Bryant | Shooting_of_ma'khia_bryant | Ma'Khia_Bryant | Bryant,_Ma'Khia | Ma’Khia | Makia_Bryant | Killing_of_makhia_bryant"
Killing_of_Manuel_Ellis,3,188260,196232,1.04,Killing_of_Manuel_Ellis | Death_of_Manuel_Ellis | Manuel_Ellis
Killing_of_Marcellis_Stinnette,2,18435,18524,1.0,Killing_of_Marcellis_Stinnette | Marcellis_Stinnette
Killing_of_Markeis_McGlockton,4,129286,680577,5.26,Killing_of_Markeis_McGlockton | Markeis_McGlockton | Markeis_Deon_McGlockton | Shooting_of_Markeis_McGlockton
Killing_of_Meagan_Hockaday,3,7670,77609,10.12,Killing_of_Meagan_Hockaday | Meagan_Hockaday | Shooting_of_Meagan_Hockaday
Killing_of_Michael_Brown,11,611693,8382212,13.7,Killing_of_Michael_Brown | 2014_Michael_Brown_death_and_aftermath_in_Ferguson_Missouri | Michael_Brown_shooting | Death_of_Michael_Brown | Mike_Brown_shooting | Shooting_of_michael_brown | Fatal_shooting_of_Michael_Brown | Shooting_of_Mike_Brown | Michael_Brown_(Ferguson_incident) | Michael_Brown_Jr. | Shooting_of_Michael_Brown
Killing_of_Nina_Pop,4,3237,28481,8.8,Killing_of_Nina_Pop | Nina_Pop | Nina_pop | Death_of_Nina_Pop
Killing_of_Nyah_Mway,3,25418,26468,1.04,Killing_of_Nyah_Mway | Nyah_Mway | Draft:Shooting_of_Nyah_Mway
Killing_of_Patrick_Harmon,4,27136,42197,1.56,Killing_of_Patrick_Harmon | Killing_of_Patrick_Harman | Patrick_Harmon | Shooting_of_Patrick_Harmon
Killing_of_Patrick_Lyoya,5,228639,233554,1.02,Killing_of_Patrick_Lyoya | Patrick_Lyoya | Shooting_of_Patrick_Lyoya | Death_of_Patrick_Lyoya | Lyoya
Killing_of_Philando_Castile,17,656993,5504275,8.38,"Killing_of_Philando_Castile | Philando_Castile | Philando_Castle | Death_of_Philando_Castile | Philando_Castille | Shooting_of_Philando_Castille | Shooting_of_Philando_Castle | Philando_Castile_shooting | Death_of_Philando_Castille | Philandro_Castile | Murder_of_Philando_Castile | Philando_Divall_Castile | Philando | Philander_Castile | Castile,_Philando | Shooting_of_Philando_Castile | Philando_castile"
